rank,1,2,3,4,5,6
1,Delta,Tipton,Fair Grove,Doniphan,Lift for Life Academy Charter,Incarnate Word Academy
2,Walnut Grove,St. Vincent,Principia,Logan-Rogersville,St. Teresa's Academy,Staley
3,St. Elizabeth,Skyline,Centralia,Benton,West Plains,Jackson
4,Macks Creek,Clopton,South Shelby,Strafford,Hillsboro,Lutheran St. Charles
5,Chadwick,North Platte,Portageville,Central (Park Hills),Parkway West,Park Hill South
6,Northeast (Cairo),West Nodaway with Nodaway-Holt,El Dorado Springs,Potosi,Marshfield,Kickapoo
7,Wheatland,Neelyville,Thayer,MICDS,Farmington,Francis Howell
8,Bunker,Iberia,Lone Jack,Ursuline Academy,Cardinal Ritter,Rock Bridge
9,Green City,Norwood,Twin Rivers,Aurora,Festus,Nixa
10,Stoutland,Linn,Arcadia Valley,California,Hillcrest,Rolla
